Page in PDF,Plant Type,Key,Botanical Name,Common Name,Height (ft),Spread (ft),Bloom Color,Bloom Time,Sun,Water,Characteristics,Habitats,Wildlife Benefits,Distribution,Link: Missouri Botanical Garden,Link: Wildflower.org
1,,RC,Rutgers Cooperative Extension,Water Resources Program,,,,,,,,,,,,
3,"Herbaceous, Perennial",AT,Amsonia tabernaemontana,Eastern blue star,2 - 3,2 - 3,,,,,,,,,,
4,"Herbaceous, Perennial",AC,Aquilegia canadensis,Red columbine,1 - 3,1 - 2,,,,,,,,,,
5,"Herbaceous, Perennial",AT1,Arisaema triphyllum,Jack-in-the-pulpit,1 - 2,1 - 1.5,,,,,,,,,,http://www.wildflower.org/gallery/result.php?id_image=10042
6,"Herbaceous, Perennial",AI,Asclepias incarnata,Swamp milkweed,6,,,,,,,,,,,
7,"Herbaceous, Perennial",AS,Asclepias syriaca,Common Milkweed,3 - 6,,,,,,,,,,,
8,"Herbaceous, Perennial",AT2,Asclepias tuberosa,Butterfly Milkweed,1 - 2,,,,,,,,,,,
9,"Herbaceous, Perennial",BA,Baptisia australis,Blue Wild Indigo,3 - 5,,,,,,,,,,,
10,"Herbaceous, Perennial",CP,Caltha palustris,Marsh Marigold,,,,,,,,,,,,
11,"Herbaceous, Perennial",CG,Chelone glabra,Turtlehead,2 - 4,1 - 2,,,,,,,,,,
12,"Herbaceous, Perennial",CL,Coreopsis lanceolata,Lanceleaf tickseed,1 - 2,,,,,,,,,,,
13,"Herbaceous, Perennial",EP,Echinacea purpurea,Purple Coneflower,2 - 4,1.5 - 2,,,,,,,,,,
14,"Herbaceous, Perennial",EC,Eupatorium coelestinum,Blue mistflower,1 - 2,,,,,,,,,,,
15,"Herbaceous, Perennial",ED,Eupatorium dubium,Little Joe Pye weed,3 - 4,2 - 3,,,,,,,,,,
16,"Herbaceous, Perennial",EM,Eupatorium maculatum,Spotted Joe Pye weed,4 - 6,3 - 4,,,,,,,,,,
17,"Herbaceous, Perennial",EP1,Eupatorium perfoliatum,Common boneset,2 - 4,2,,,,,,,,,,
18,"Herbaceous, Perennial",EP2,Eupatorium purpureum,Joe Pye Weed,3 - 7,2 - 4,,,,,,,,,,
19,"Herbaceous, Perennial",ED1,Eurybia divaricata,White wood aster,2 - 3,2 - 4,,,,,,,,,,
20,"Herbaceous, Perennial",HA,Helenium autumnale,Common Sneezeweed,2 - 5,2 - 3,,,,,,,,,,
21,"Herbaceous, Perennial",HH,Heliopsis helianthoides,SMOOTH OXEYE,,,,,,,,,,,,
22,"Herbaceous, Perennial",FU,For updated distribution,page for this species on the PLANTS Web site. become weedy in landscape settings.,,,,,,,,,,,,
23,"Herbaceous, Perennial",HM,Hibiscus moscheutos,Hibiscus or Swamp rosemallow,3 - 7,3 - 4,,,,,,,,,,
24,"Herbaceous, Perennial",IV,Iris versicolor,"Blue flag, Blue water iris",2 - 3,,,,,,,,,,,
25,"Herbaceous, Perennial",LS,Liatris spicata,Dense blazing star,3 - 4,,,,,,,,,,,
26,"Herbaceous, Perennial",LS1,Lilium superbum,Turk's Cap Lily,,,,,,,,,,,,
27,"Herbaceous, Perennial",LC,Lobelia cardinalis,Cardinal flower,2 - 4,,,,,,,,,,,
28,"Herbaceous, Perennial",LS2,Lobelia siphilitica,Blue Lobelia,1 - 5,,,,,,,,,,,
29,"Herbaceous, Perennial",MR,Mimulus ringens,Monkey Flower,3,,,,,,,,,,,
30,"Herbaceous, Perennial",MD,Monarda didyma,Scarlet beebalm/Oswego tea,3 - 5,2 - 3,,,,,,,,,,
31,"Herbaceous, Perennial",MF,Monarda fistulosa,Wild bergamot / Bee-balm,2 - 3,,,,,,,,,,,
32,"Herbaceous, Perennial",PD,Penstemon digitalis,Foxglove Beardtongue,3 - 5,,,,,,,,,,,
33,"Herbaceous, Perennial",PD1,Phlox divaricta,Woodland phlox,,,,,,,,,,,,
34,"Herbaceous, Perennial",PP,Phlox paniculata,Garden Phlox,3 - 6,2 - 3,,,,,,,,,,
35,"Herbaceous, Perennial",PS,Phlox stolonifera,Creeping phlox,,2,,,,,,,,,,
36,"Herbaceous, Perennial",PV,Physostegia virginiana,Obedient Plant/False Dragonhead,1 - 4,2 - 3,,,,,,,,,,
37,"Herbaceous, Perennial",PV1,Pycnanthemum virginianum,Mountain Mint/Virginia Mountain-mint,2 - 3,1 - 1.5,,,,,,,,,,
38,"Herbaceous, Perennial",RF,Rudbeckia fulgida,Orange coneflower,2 - 3,1 - 2,,,,,,,,,,
39,"Herbaceous, Perennial",RH,Rudbeckia hirta,Black-Eyed Susan,2 - 3,1 - 2,,,,,,,,,,
40,"Herbaceous, Perennial",RL,Rudbeckia laciniata,Cutleaf Coneflower,4 - 6,,,,,,,,,,,https://www.wildflower.org/gallery/result.php?id_image=67393
41,"Herbaceous, Perennial",SP,Siphium perfoliatum,Cup-Plant,,,,,,,,,,,,https://www.wildflower.org/plants/result.php?id_plant=SIPE2
42,"Herbaceous, Perennial",SR,Smilacina raceoscum,False Solomon’s Seal or Solomon’s Plume,1 - 2,1 - 3,,,,,,,,,,
43,"Herbaceous, Perennial",SN,Solidago nemoralis,Gray Goldenrod,1 - 2,2,,,,,,,,,,
44,"Herbaceous, Perennial",SS,Solidago sempervirens,Goldenrod,1 - 8,,,,,,,,,,,
45,"Herbaceous, Perennial",SL,Stokesia laevis,Stokes’ aster,1 - 3,1 - 3,,,,,,,,,,
46,"Herbaceous, Perennial",SL1,Symphyotrichum laeve,Smooth Aster,,,,,,,,,,,http://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=g420,https://www.wildflower.org/plants/result.php?id_plant=syla3
47,"Herbaceous, Perennial",SN1,Symphyotrichum novae,New England Aster,1 - 6,,,,,,,,,,,
48,"Herbaceous, Perennial",SN2,Symphyotrichum novi,New York Aster,1 - 3,,,,,,,,,,,
49,"Herbaceous, Perennial",TC,Tiarella cordifolia,Foam Flower,,,,,,,,,,,,
50,"Herbaceous, Perennial",VH,Verbena hastata,Blue Vervain,,,,,,,,,,,,
51,"Herbaceous, Perennial",VN,Vernonia noveboracensis,New York Ironweed,3 - 6,3 - 4,,,,,,,,,,
52,"Herbaceous, Perennial",VV,Veronicastrum virginicum,Culver’s Root,3 - 6,,,,,,,,,,,
54,Ferns,AF,Athyrium filix,Lady Fern,,,,,,,,,,,,
55,Ferns,DM,Dryopteris marginalis,Marginal woodland fern,1 - 2,1 - 3,,,,,,,,,,
56,Ferns,MS,Matteuccia struthiopteris,Ostrich Fern,3 - 4,2 - 3,,,,,,,,,,
57,Ferns,OS,Onoclea Sensibilis,Sensitive Fern,,,,,,,,,,,,
58,Ferns,OC,Osmunda cinnamomea,Cinnamon fern,5,2 - 3,,,,,,,,,,
59,Ferns,OR,Osmunda regalis,Royal Fern,6,2 - 3,,,,,,,,,,
60,Ferns,PA,Polystichum acrostichoides,Christmas Fern,1 - 2,1 - 2,,,,,,,,,,
62,"Grasses, Sedges, and Rushes",AG,Andropogon gerardii,Big Bluestem,4 - 8,,,,,,,,,,,
63,"Grasses, Sedges, and Rushes",CA,Carex amphibola,Creek sedge,8 - 12,8 - 12,,,,,,,,,,
