Image Filename,Page Number,Botanical Name,Common Name
001_rutgers_cooperative_extension_1.png,1,Rutgers Cooperative Extension,Water Resources Program
001_rutgers_cooperative_extension_2.png,1,Rutgers Cooperative Extension,Water Resources Program
003_amsonia_tabernaemontana_1.png,3,Amsonia tabernaemontana,Eastern blue star
003_amsonia_tabernaemontana_2.png,3,Amsonia tabernaemontana,Eastern blue star
003_amsonia_tabernaemontana_3.png,3,Amsonia tabernaemontana,Eastern blue star
004_aquilegia_canadensis_1.png,4,Aquilegia canadensis,Red columbine
004_aquilegia_canadensis_2.png,4,Aquilegia canadensis,Red columbine
005_arisaema_triphyllum_1.png,5,Arisaema triphyllum,Jack-in-the-pulpit
005_arisaema_triphyllum_2.png,5,Arisaema triphyllum,Jack-in-the-pulpit
006_asclepias_incarnata_1.png,6,Asclepias incarnata,Swamp milkweed
006_asclepias_incarnata_2.png,6,Asclepias incarnata,Swamp milkweed
007_asclepias_syriaca_1.png,7,Asclepias syriaca,Common Milkweed
007_asclepias_syriaca_2.png,7,Asclepias syriaca,Common Milkweed
008_asclepias_tuberosa_1.png,8,Asclepias tuberosa,Butterfly Milkweed
008_asclepias_tuberosa_2.png,8,Asclepias tuberosa,Butterfly Milkweed
009_baptisia_australis_1.png,9,Baptisia australis,Blue Wild Indigo
009_baptisia_australis_2.png,9,Baptisia australis,Blue Wild Indigo
010_caltha_palustris_1.png,10,Caltha palustris,Marsh Marigold
011_chelone_glabra_1.png,11,Chelone glabra,Turtlehead
011_chelone_glabra_2.png,11,Chelone glabra,Turtlehead
012_coreopsis_lanceolata_1.png,12,Coreopsis lanceolata,Lanceleaf tickseed
012_coreopsis_lanceolata_2.png,12,Coreopsis lanceolata,Lanceleaf tickseed
013_echinacea_purpurea_1.png,13,Echinacea purpurea,Purple Coneflower
013_echinacea_purpurea_2.png,13,Echinacea purpurea,Purple Coneflower
014_eupatorium_coelestinum_1.png,14,Eupatorium coelestinum,Blue mistflower
014_eupatorium_coelestinum_2.png,14,Eupatorium coelestinum,Blue mistflower
015_eupatorium_dubium_1.png,15,Eupatorium dubium,Little Joe Pye weed
015_eupatorium_dubium_2.png,15,Eupatorium dubium,Little Joe Pye weed
016_eupatorium_maculatum_1.png,16,Eupatorium maculatum,Spotted Joe Pye weed
016_eupatorium_maculatum_2.png,16,Eupatorium maculatum,Spotted Joe Pye weed
017_eupatorium_perfoliatum_1.png,17,Eupatorium perfoliatum,Common boneset
017_eupatorium_perfoliatum_2.png,17,Eupatorium perfoliatum,Common boneset
018_eupatorium_purpureum_1.png,18,Eupatorium purpureum,Joe Pye Weed
018_eupatorium_purpureum_2.png,18,Eupatorium purpureum,Joe Pye Weed
019_eurybia_divaricata_1.png,19,Eurybia divaricata,White wood aster
019_eurybia_divaricata_2.png,19,Eurybia divaricata,White wood aster
020_helenium_autumnale_1.png,20,Helenium autumnale,Common Sneezeweed
020_helenium_autumnale_2.png,20,Helenium autumnale,Common Sneezeweed
021_heliopsis_helianthoides_1.png,21,Heliopsis helianthoides,SMOOTH OXEYE
021_heliopsis_helianthoides_2.png,21,Heliopsis helianthoides,SMOOTH OXEYE
021_heliopsis_helianthoides_3.png,21,Heliopsis helianthoides,SMOOTH OXEYE
022_for_updated_distribution_1.png,22,For updated distribution,page for this species on the PLANTS Web site. become weedy in landscape settings.
023_hibiscus_moscheutos_1.png,23,Hibiscus moscheutos,Hibiscus or Swamp rosemallow
023_hibiscus_moscheutos_2.png,23,Hibiscus moscheutos,Hibiscus or Swamp rosemallow
024_iris_versicolor_1.png,24,Iris versicolor,"Blue flag, Blue water iris"
024_iris_versicolor_2.png,24,Iris versicolor,"Blue flag, Blue water iris"
025_liatris_spicata_1.png,25,Liatris spicata,Dense blazing star
025_liatris_spicata_2.png,25,Liatris spicata,Dense blazing star
026_lilium_superbum_1.png,26,Lilium superbum,Turk's Cap Lily
026_lilium_superbum_2.png,26,Lilium superbum,Turk's Cap Lily
027_lobelia_cardinalis_1.png,27,Lobelia cardinalis,Cardinal flower
028_lobelia_siphilitica_1.png,28,Lobelia siphilitica,Blue Lobelia
028_lobelia_siphilitica_2.png,28,Lobelia siphilitica,Blue Lobelia
029_mimulus_ringens_1.png,29,Mimulus ringens,Monkey Flower
029_mimulus_ringens_2.png,29,Mimulus ringens,Monkey Flower
030_monarda_didyma_1.png,30,Monarda didyma,Scarlet beebalm/Oswego tea
030_monarda_didyma_2.png,30,Monarda didyma,Scarlet beebalm/Oswego tea
031_monarda_fistulosa_1.png,31,Monarda fistulosa,Wild bergamot / Bee-balm
031_monarda_fistulosa_2.png,31,Monarda fistulosa,Wild bergamot / Bee-balm
032_penstemon_digitalis_1.png,32,Penstemon digitalis,Foxglove Beardtongue
032_penstemon_digitalis_2.png,32,Penstemon digitalis,Foxglove Beardtongue
033_phlox_divaricta_1.png,33,Phlox divaricta,Woodland phlox
034_phlox_paniculata_1.png,34,Phlox paniculata,Garden Phlox
034_phlox_paniculata_2.png,34,Phlox paniculata,Garden Phlox
035_phlox_stolonifera_1.png,35,Phlox stolonifera,Creeping phlox
035_phlox_stolonifera_2.png,35,Phlox stolonifera,Creeping phlox
036_physostegia_virginiana_1.png,36,Physostegia virginiana,Obedient Plant/False Dragonhead
036_physostegia_virginiana_2.png,36,Physostegia virginiana,Obedient Plant/False Dragonhead
037_pycnanthemum_virginianum_1.png,37,Pycnanthemum virginianum,Mountain Mint/Virginia Mountain-mint
037_pycnanthemum_virginianum_2.png,37,Pycnanthemum virginianum,Mountain Mint/Virginia Mountain-mint
038_rudbeckia_fulgida_1.png,38,Rudbeckia fulgida,Orange coneflower
