Plant Type,Key,Botanical Name,Common Name,Height (ft),Spread (ft),Bloom Color,Bloom Time,Sun,Water,AGCP Regional Status,USDA Hardiness Zone,Attracts,Tolerates,Soil Description,Condition Comments,MaintenanceLevel,Native Habitats,Culture,Uses,UseXYZ,WFMaintenance,Problems,Link: Missouri Botanical Garden,Link: Wildflower.org,Link: Pleasantrunnursery.com,Link: Newmoonnursery.com,Link: Pinelandsnursery.com,Rev
"Herbaceous, Perennial",AH,Amsonia hubrichtii,THREADLEAF BLUE STAR,2 - 3,2 - 3,Blue,"Apr, May","Full Sun, Part Shade",Medium,,Zone 5 to 8,Butterflies,"Deer, Clay Soil","Grow in medium, well-drained soil in full sun to part shade.","Best fall color occurs in full sun, but flowers last longer with some afternoon shade. To much shade causes stems to flop over. Cut back to 6 inches after flowering to shape plants into a mound.",Low,,"Easily grown in average, medium, well-drained soil in full sun to part shade. Tolerant of a wide range of soil types including clayey soils. Best fall foliage color usually occurs in full sun, but flowers generally last longer if given some afternoon shade in hot sun areas. Stems tend to open up and flop in too much shade, however. Consider cutting back the stems by about 6"" after flowering to help keep stems upright and to shape plants into a nice foliage mound.","Borders, rock gardens, cottage gardens, open woodland areas, rain gardens. Best when massed. Flowers can be used in fresh cut arrangements.","Use Ornamental: Mass plants in in borders, rock gardens and open woodlands.",,"No serious insect or disease problems. Plants may flop, particularly if not cut back after flowering. Deer tend to avoid this plant.",https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=w810,https://www.wildflower.org/plants/result.php?id_plant=AMHU,https://www.pleasantrunnursery.com/plant-name/Amsonia-hubrichtii,NA,https://www.pinelandsnursery.com/amsonia-hubrichtii,20250611_AN
"Herbaceous, Perennial",AT,Amsonia tabernaemontana,"BLUE STAR, BLUE DOGBANE",2 - 3,2 - 3,,,"Full Sun, Part Shade",Medium,FACW,Zone 3 to 9,,"Deer, Drought, Clay Soil","Wet to moist, sandy soils.","This species should be cut back after flowering. Blue star has naturalized northeast as far as Massachusetts. A similar species, A. illustris, occurs inland from MO & KS to TX.",Low,"Wet, sandy sites in thin woods & on plains.","Easily grown in average, medium, well-drained soil in full sun to part shade. Prefers moist, loamy soils. Tolerates some drought. When grown in full sun, plants often require no pruning or staking. When grown in some shade and/or in rich soils, however, plants tend to become more open and floppy and often require staking or pruning. For a neater appearance, particularly for shade-grown plants, consider cutting back stems by 1/2 to 1/3 after flowering to promote bushy growth and, if desired, a more rounded foliage mound.","Borders, rock gardens, cottage gardens, open woodland areas, rain gardens. Best when massed. Flowers can be used in fresh cut arrangements.",,,No serious insect or disease problems. May require staking to avoid flopping in overly rich soils or shady conditions. Rust may occur. Deer tend to avoid this plant.,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?taxonid=276088&isprofile=1&gen=Amsonia,https://www.wildflower.org/plants/result.php?id_plant=amta2,NA,https://newmoonnursery.com/nursery-plants/amsonia-tabernaemontana/,NA,20250611_AN
"Herbaceous, Perennial",ATM,Amsonia tabernaemontana 'Montana',BLUE STAR,1 - 1.5,0.75 - 1,,,"Full Sun, Part Shade",Medium,,Zone 4 to 9,,"Deer, Drought, Clay Soil",,,Low,,"Easily grown in average, medium, well-drained soil in full sun to part shade. Prefers moist, loamy soils. Tolerates some drought. When grown in full sun, plants often require no pruning or staking. When grown in some shade and/or in rich soils, however, plants tend to become more open and floppy and often require staking or pruning. For a neater appearance, particularly for shade-grown plants, consider cutting back stems by 1/2 to 1/3 after flowering to promote bushy growth and, if desired, a more rounded foliage mound. Although cutting back most Amsonias to 6-8"" after bloom is recommended in order to help maintain neatness and increase foliage density, such trimming is usually not needed in the case of this compact cultivar.","Borders, rock gardens, cottage gardens, open woodland areas, rain gardens. Best when massed. Flowers can be used in fresh cut arrangements.",,,No serious insect or disease problems. May require staking to avoid flopping in overly rich soils or shady conditions. Rust may occur. Deer tend to avoid this plant.,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?taxonid=262985&isprofile=0&,NA,NA,https://newmoonnursery.com/nursery-plants/amsonia-tabernaemontana-v-montana/,NA,20250611_AN
"Herbaceous, Perennial",ATS,Amsonia tabernaemontana 'Salicifolia',WILLOW LEAF BLUE STAR,2 - 3,2 - 3,Blue,May,"Full Sun, Part Shade",Medium,,Zone 3 to 9,Butterflies,"Deer, Drought, Clay Soil",,,Low,,"Easily grown in average, medium, well-drained soil in full sun to part shade. Prefers moist, loamy soils. Tolerates some drought. When grown in full sun, plants often require no pruning or staking though they tend to lean. When grown in some shade and/or in rich soils, however, plants tend to become more open and floppy and often require staking or pruning. For a neater appearance, particularly for shade-grown plants, consider cutting back stems by 1/2 to 1/3 after flowering to promote bushy growth and, if desired, a more rounded foliage mound.","Borders, rock gardens, cottage gardens, open woodland areas, rain gardens. Best when massed. Flowers can be used in fresh cut arrangements.",,,"No serious insect or disease problems. Taller plants may require staking, particularly if grown in shade and not pruned after flowering. Deer tend to avoid this plant.",https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?taxonid=276139&isprofile=0&hf=1,https://www.wildflower.org/plants/result.php?id_plant=AMTAS,https://www.pleasantrunnursery.com/plant-name/Amsonia-tabernaemontana-var--salicifolia,https://newmoonnursery.com/nursery-plants/amsonia-tabernaemontana-v-salicifolia/,NA,20250611_AN
"Herbaceous, Perennial",AC,Aquilegia canadensis,RED COLUMBINE,2 - 3,1 - 1.5,"Red, Pink, Yellow","Feb, Mar, Apr, May, Jun, Jul","Full Sun, Part Shade",Medium,FACU,Zone 3 to 8,Hummingbirds,"Rabbit, Deer, Drought, Dry Soil","Sandy, well-drained soils. Medium Loam, Sandy Loam, Sandy, Limestone-based. Not too rich.","Red columbine likes moisture but must be in well drained soil. Rich garden soil encourages rank vegetative growth and weak stems and shortens the plant's lifespan, while plants in thin, sandy soils maintain a tight, compact habit and can live for many years. It is",Medium,Partly shaded to shaded woodland habitat with calcareous soils that are not too rich. Central Texas populations primarily in solution-pitted limestone areas in shade.,"Easily grown in average, medium, well-drained soil in full sun to part shade. Wide range of soil tolerance as long as drainage is good. Prefers rich, moist soils in light to moderate shade. Freely self-seeds and will naturalize to form large colonies in optimum growing conditions. Remove flowering stems after bloom to encourage additional bloom. Keep soils uniformly moist after bloom to prolong attractive foliage appearance. When foliage depreciates, plants may be cut to the ground.","Borders, cottage gardens, open shade gardens, woodland gardens or naturalized areas. Also a good selection for a hummingbird garden. Continue to water plants after bloom to enjoy the ground cover effect of the attractive foliage.","Use Ornamental: Valued as a shade-loving, Use Wildlife: Blooms attract hummingbirds, bees, butterflies, and hawk moths. Seeds consumed by finches and buntings., Use Other: Native","Maintenance: Be careful of overwatering in summer - the crowns can rot. Cut back old seed heads and stems in summer to keep tidy looking. To maintain pure strains of any Aquilegia species and prevent hybridizing (which A. canadensis will readily do), keep different species widely separated - not a surefire protection, but reduces the likelihood.",This species has very good resistance to leaf miner which often causes severe damage to the foliage of many other columbine species and hybrids.,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=b400,https://www.wildflower.org/plants/result.php?id_plant=aqca,https://www.pleasantrunnursery.com/plant-name/Aquilegia-canadensis,https://newmoonnursery.com/nursery-plants/aquilegia-canadensis/,https://www.pinelandsnursery.com/aquilegia-canadensis-red-columbine-seed,20250611_AN
"Herbaceous, Perennial",AT1,Arisaema triphyllum,JACK-IN-THE-PULPIT,1 - 2,1 - 1.5,,,"Part Shade, Full Shade","Medium, Wet",FACW,Zone 4 to 9,,"Heavy Shade, Wet Soil, Black Walnut","Humus-rich, moist soils.","Jack-in-the-pulpit is an excellent woodsgarden plant, very easy to cultivate and requiring very little care. It thrives under a variety of conditions, but grows most vigorously in moist, shady, seasonally wet locations. A heavy, leafy wintercover should be left in place.",Medium,"Forest, Woodland, Swamp, Marsh","Best grown in fertile, medium to wet soil in part shade to full shade. Needs constantly moist soil rich in organic matter. Does poorly in heavy clay soils. May be grown from seed, but takes five years for plant to flower.","Best left undisturbed in the shady woodland garden, wild garden or native plant garden.",Use Wildlife: Birds and mammals eat the berries of this plant.,,No serious insect or disease problems.,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?taxonid=276310,https://www.wildflower.org/plants/result.php?id_plant=artr,NA,NA,NA,20250611_AN
"Herbaceous, Perennial",AI,Asclepias incarnata,SWAMP MILKWEED,3 - 4,2 - 3,Pink,"Jun, Jul, Aug",Full Sun,"Medium, Wet",OBL,Zone 3 to 6,"Hummingbirds, Butterflies, Food Source for Pollinators","Deer, Clay Soil, Wet Soil","Rich, wet, very muddy to average garden moisture. One of the few ornamentals that thrives in mucky clay soils. Prefers neutral to slightly acidic soil but will tolerate heavy clay.","With its showy flower clusters that attract butterflies and hummingbirds, swamp milkweed is underutilized in gardens. In moist soils or in a pond, it will thrive. The interesting seed pods look like other milkweeds. Swamp milkweed will inevitably have aphids. The insects are not a problem unless the plant looks sick; at that point an effective treatment is to spray the plant and aphids with soapy water. Another possible treatment is to support the plant part with your hand and blast it with high-pressure water. Good for wetland gardens and habitat.",Low,"Wet Meadow, Prairie, Field, Riparian, Swamp, Marsh. Most often found on the margins of flooded plains, lakes, ponds, waterways, marshes, swamps, and other wet areas.",Easily grown in medium to wet soils in full sun. Surprisingly tolerant of average well-drained soils in cultivation even though the species is native to swamps and wet meadows. Plants have deep taproots and are best left undisturbed once established. Foliage is slow to emerge in spring.,"Sunny borders, stream/pond banks, butterfly gardens. A good plant for low spots or other moist areas in the landscape.","Use Ornamental: Herbaceous, Use Wildlife: Milkweeds are an important food source for the monarch caterpillar., Use Food: Although milkweeds are poisonous raw, the young shoots, leaves and seed pods are all edible cooked. When placed in cold water, brought to a boil and simmered till tender, milkweeds are said to be delicately flavoured and harmless. (Poisonous Plants of N.C. State) The flower buds, nectar-sweet flowers and seeds are also edible. (Kershaw), Use Medicinal: In the past, the roots of swamp milkweed were simmered to make a tea taken in small quantities both as a general purge and to destroy and expel parasitic worms.",,No serious insect or disease problems.,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=g410,https://www.wildflower.org/plants/result.php?id_plant=asin,https://www.pleasantrunnursery.com/plant-name/Asclepias-incarnata,https://newmoonnursery.com/nursery-plants/asclepias-incarnata/,https://www.pinelandsnursery.com/asclepias-incarnata-swamp-milkweed1-pot,20250611_AN
"Herbaceous, Perennial",AII,Asclepias incarnata 'Ice Ballet',ICE BALLET SWAMP MILKWEED,3 - 4,1.5 - 2,,,Full Sun,"Medium, Wet",,Zone 3 to 9,"Hummingbirds, Butterflies","Deer, Clay Soil, Wet Soil",,,Low,,Easily grown in medium to wet soils in full sun. Surprisingly tolerant of average well-drained soils in cultivation even though the species is native to swamps and wet meadows. Plants have deep taproots and are best left undisturbed once established. Foliage is slow to emerge in spring.,"Sunny borders, stream/pond banks, butterfly gardens. A good plant for low spots or other moist areas in the landscape.",,,No serious insect or disease problems.,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?taxonid=254189&isprofile=0,NA,https://www.pleasantrunnursery.com/plant-name/Asclepias-incarnata-Ice-Ballet,https://newmoonnursery.com/nursery-plants/asclepias-incarnata-ice-ballet/,NA,20250611_AN
"Herbaceous, Perennial",AS,Asclepias syriaca,COMMON MILKWEED,2 - 3,0.75 - 1,"White, Purple","Jun, Jul, Aug",Full Sun,"Dry, Medium",UPL,Zone 3 to 9,Butterflies,"Deer, Drought, Erosion, Dry Soil, Shallow-Rocky Soil","Medium to fine sandy, clayey, or rocky calcareous soils. Also found in well-drained loamy soils.",Not shade tolerant. Needs lots of sunlight.,Low,"Old fields, roadsides, and waste places.","Easily grown in average, dry to medium, well-drained soils in full sun. Drought tolerant. Does well in poor, dryish soils. Easily grown from seed, and will self-seed in the landscape if seed pods are not removed prior to splitting open. Can spread somewhat rapidly by rhizomes. Often forms extensive colonies in the wild.","Butterfly gardens, meadows, prairies, or naturalized/native plant areas. This plant is considered by many gardeners to be too vigorous and weedy for borders.","Use Food: According to the Field Guide to Medicinal Wild Plants or Edible Wild Plants, common milkweed is edible only under certain circumstances. Boiling can eliminate the bitter taste and toxicity of the, Use Other: Native",,No serious insect or disease problems. Somewhat weedy and can spread.,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=b480,https://www.wildflower.org/plants/result.php?id_plant=ASSY,https://www.pleasantrunnursery.com/plant-name/Asclepias-syriaca,NA,https://www.pinelandsnursery.com/asclepias-syriaca,20250611_AN
"Herbaceous, Perennial",AT2,Asclepias tuberosa,BUTTERFLY MILKWEED,1 - 2.5,1 - 1.5,Orange,"May, Jun, Jul, Aug, Sep",Full Sun,"Dry, Medium",,Zone 3 to 9,"Butterflies, Food Source for Pollinators","Deer, Drought, Erosion, Dry Soil, Shallow-Rocky Soil",Prefers well-drained sandy soils. Tolerates drought.,Butterfly,Low,"Grows in prairies, open woods, canyons, and hillsides throughout most of the state, common in eastern two thirds of Texas, uncommon in the Hill Country. Plant in well-drained sand, loam, clay, or limestone.","Easily grown in average, dry to medium, well-drained soils in full sun. Drought tolerant. Does well in poor, dry soils. New growth tends to emerge late in the spring. Plants are easily grown from seed, but are somewhat slow to establish and may take 2-3 years to produce flowers. Mature plants may freely self-seed in the landscape if seed pods are not removed prior to splitting open. Butterfly weed does not transplant well due to its deep taproot, and is probably best left undisturbed once established.","Butterfly gardens, rock gardens, meadows, prairies, or naturalized/native plant areas. Also effective in sunny borders or slopes. Whether massing plants in large drifts or sprinkling them throughout a prairie or meadow, butterfly weed is one of our showiest native wildflowers.","Use Ornamental: Butterfly, Use Medicinal: Its tough root was chewed by First Nations People as a cure for pleurisy and other pulmonary ailments explaining its other common name, pleurisy root. (Niering), Use Other: This showy plant is frequently grown from seed in home gardens.","Maintenance: Needs to be transplanted carefully and requires good drainage. It takes 2 â 3 years before A. tuberosa produces its vibrant flowers, which appear in 2 â 3 inch clusters of orangish-red. Once established, it lasts for years, becoming thicker each year.","No serious insect or disease problems. Crown rot can be a problem in wet, poorly drained soils. Susceptible to rust and leaf spot.",https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=b490,https://www.wildflower.org/plants/result.php?id_plant=astu,https://www.pleasantrunnursery.com/plant-name/Asclepias-tuberosa,https://newmoonnursery.com/nursery-plants/asclepias-tuberosa/,https://www.pinelandsnursery.com/asclepias-tuberosa-butterfly-weed-seed,20250611_AN
