Page in PDF,Plant Type,Key,Botanical Name,Common Name,Height (ft),Spread (ft),Bloom Color,Bloom Time,Sun,Water,Characteristics,Habitats,Wildlife Benefits,Distribution,Link: Missouri Botanical Garden,Link: Wildflower.org
3,Herbaceous Perennials,AT,Amsonia tabernaemontana,Eastern blue star,2 - 3,2 - 3,blue/purple,March - June,,,deer resistant; self seeds,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?taxonid=276088&isprofile=1&gen=Amsonia,https://www.wildflower.org/plants/result.php?id_plant=AMTA2
4,Herbaceous Perennials,ACa,Aquilegia canadensis,Red columbine,1 - 3,1 - 2,red,April - June,,,self seeds; moderately deer resistant,,,"East of the Rockies, but not found in Louisiana (USDA hardiness zones 3-8)",https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=b400,https://www.wildflower.org/plants/result.php?id_plant=AQCA
5,Herbaceous Perennials,ATr,Arisaema triphyllum,Jack-in-the-pulpit,1 - 2,1 - 1.5,,,,,deer resistant,"Forest, woodland, swamp, or marsh",,"Native to eastern North America, occurring in moist woodlands and thickets",https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=j400,https://www.wildflower.org/plants/result.php?id_plant=artr
6,Herbaceous Perennials,AIn,Asclepias incarnata,Swamp milkweed,,,pink to purplish red,June - August,,,,,,"Nova Scotia to Manitoba and Utah, south to Florida, Louisiana, and",https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=g410,https://www.wildflower.org/plants/result.php?id_plant=asin
7,Herbaceous Perennials,ASy,Asclepias syriaca,Common Milkweed,3 - 6,,Pink,June - July,,,deer resistant; drought tolerant,,,Northeast west to California and South Dakota,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=b480,https://www.wildflower.org/plants/result.php?id_plant=ASSY
8,Herbaceous Perennials,ATu,Asclepias tuberosa,Butterfly Milkweed,1 - 2,,Orange,July - August,,,,,,Northeast west to California and South Dakota,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=b490,https://www.wildflower.org/plants/result.php?id_plant=astu
9,Herbaceous Perennials,BAu,Baptisia australis,Blue Wild Indigo,3 - 5,,Blue,April - August,,,Deer resistant,,,Nebraska to Texas on the west to the eastern seaboard states. It reaches into,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=b660,https://www.wildflower.org/plants/result.php?id_plant=baau
10,Herbaceous Perennials,CPa,Caltha palustris,Marsh Marigold,,,Bright yellow,April - June,,,,,,"Labrador to Alaska, south to Newfoundland, Nova Scotia, south Carolina,",https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?taxonid=286073,https://www.wildflower.org/plants/result.php?id_plant=capa5
11,Herbaceous Perennials,CGl,Chelone glabra,Turtlehead,2 - 4,1 - 2,white,July - October,,,,,,"North America from Newfoundland west to Minnesota, and south to Alabama",https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?taxonid=286965,https://www.wildflower.org/plants/result.php?id_plant=chgl2
12,Herbaceous Perennials,CLa,Coreopsis lanceolata,Lanceleaf tickseed,1 - 2,,yellow,June - August,,,self-seeds,,,North America from Eastern Canada through Eastern and Midwestern United,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=j880,https://www.wildflower.org/plants/result.php?id_plant=cola5
13,Herbaceous Perennials,EPu,Echinacea purpurea,Purple Coneflower,2 - 4,1.5 - 2,Purplish pink,June - August,,,,,,"Chiefly in Ozarks and Midwest, from Illinois and southern Iowa to",https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=c580,https://www.wildflower.org/plants/result.php?id_plant=ecpu
14,Herbaceous Perennials,ECo,Eupatorium coelestinum,Blue mistflower,1 - 2,,,,,,,Naturalized prairie or meadow plantings and along roadsides.c,,Found throughout the eastern and midwest United States.,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?taxonid=244424&isprofile=0&pt=8,https://www.wildflower.org/plants/result.php?id_plant=coco13
15,Herbaceous Perennials,EDu,Eupatorium dubium,Little Joe Pye weed,3 - 4,2 - 3,light pink//lavender,August - September,,,deer resistant; tolerates clay and wet soils,,,USDA hardiness zones 3-9,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=b781,https://www.wildflower.org/plants/result.php?id_plant=EUDU6
16,Herbaceous Perennials,EMa,Eupatorium maculatum,Spotted Joe Pye weed,4 - 6,3 - 4,pink,July - September,,,deer resistant; tolerates clay and wet soils,,,USDA hardiness zones 4-8,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?taxonid=302488&isprofile=0&,https://www.wildflower.org/plants/result.php?id_plant=eupe3
17,Herbaceous Perennials,EPe,Eupatorium perfoliatum,Common boneset,2 - 4,2,white,August - September,,,,,,Eastern North America from Quebec south to Florida and west to Texas and,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?taxonid=277187,https://www.wildflower.org/plants/result.php?id_plant=eupe3
18,Herbaceous Perennials,EPu1,Eupatorium purpureum,Joe Pye Weed,3 - 7,2 - 4,Deep pink to mauve/maturing to purple,July - September,,,,,,"From New Hampshire to Quebec to Minnesota, west to Nebraska and south",https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=c740,https://www.wildflower.org/plants/result.php?id_plant=eupu21
19,Herbaceous Perennials,EDi,Eurybia divaricata,White wood aster,2 - 3,2 - 4,,,,,Appearance:,,,USDA Plant Hardiness Zones 3-8,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=h170,https://www.wildflower.org/plants/result.php?id_plant=EUDI16
20,Herbaceous Perennials,HAu,Helenium autumnale,Common Sneezeweed,2 - 5,2 - 3,Yellow with dull yellow/black/brown center,July - October,,,,,Attracts butterflies,"Quebec to Florida, west to British Columbia and Arizona",https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?taxonid=443008&isprofile=1&gen=Helenium,https://www.wildflower.org/plants/result.php?id_plant=heau
21,Herbaceous Perennials,HHe,Heliopsis helianthoides,Oxeye Sunflower,3 - 6,2 - 4,Orange-Yellow,June - August,Full sun,"Dry, Medium",deer resistant; self seeds,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=g520,https://www.wildflower.org/plants/result.php?id_plant=HEHE5
23,Herbaceous Perennials,HMo,Hibiscus moscheutos,Hibiscus or Swamp rosemallow,3 - 7,3 - 4,pink/red//white,July - September,,,,,,USDA hardiness zones 5-8,http://www.missouribotanicalgarden.org/plantfinder/PlantFinderDetails.aspx?taxonid=282590,https://www.wildflower.org/plants/result.php?id_plant=HIMO
24,Herbaceous Perennials,IVe,Iris versicolor,"Blue flag, Blue water iris",2 - 3,,Blue/violet,May,,,,"Swamps, Marshes, and Wet Shores",,"Newfoundland to Manitoba, south to Virginia and Minnesota.",http://www.missouribotanicalgarden.org/plantfinder/PlantFinderDetails.aspx?taxonid=281141,https://www.wildflower.org/plants/result.php?id_plant=irve2
25,Herbaceous Perennials,LSp,Liatris spicata,Dense blazing star,3 - 4,,purple,June - August,,,,,,North America from Eastern Canada through Eastern and Midwestern United,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=d780,https://www.wildflower.org/plants/result.php?id_plant=lisp
26,Herbaceous Perennials,LSu,Lilium superbum,Turk's Cap Lily,,,Orange to reddish orange/sometimes yellow,July - August,,,,,Attracts hummingbirds,"From Massachusetts and New York to New Hampshire, south to north",https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=d880,https://www.wildflower.org/plants/result.php?id_plant=lisu
27,Herbaceous Perennials,LCa,Lobelia cardinalis,Cardinal flower,2 - 4,,Scarlet,June - September,,,,,,"New Brunswick to Michigan and Minnesota, south to Florida and Texas",http://www.missouribotanicalgarden.org/plantfinder/PlantFinderDetails.aspx?taxonid=278870,https://www.wildflower.org/plants/result.php?id_plant=loca2
28,Herbaceous Perennials,LSi,Lobelia siphilitica,Blue Lobelia,1 - 5,,Blue,July - October,,,,,,"Maine to Manitoba and Colorado, south to North Carolina and Texas.c",https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=i460,https://www.wildflower.org/plants/result.php?id_plant=losi
29,Herbaceous Perennials,MRi,Mimulus ringens,Monkey Flower,,,Blue,July - September,,,fragrant flowers,,,Native to most of U.S. and Canada.,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=z410,https://www.wildflower.org/plants/result.php?id_plant=MIRI
30,Herbaceous Perennials,MDi,Monarda didyma,Scarlet beebalm/Oswego tea,3 - 5,2 - 3,Scarlet/Red,July - August,,,aromatic,,,Native to eastern North America and Canada.2,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=q250,https://www.wildflower.org/plants/result.php?id_plant=MODI
31,Herbaceous Perennials,MFi,Monarda fistulosa,Wild bergamot / Bee-balm,2 - 3,,Pale pink to lavender,July - September,,,aromatic,,,"Quebec to Manitoba and British Columbia south to Georgia, Louisiana, and Arizona.",https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=g560,https://www.wildflower.org/plants/result.php?id_plant=mofi
32,Herbaceous Perennials,PDi,Penstemon digitalis,Foxglove Beardtongue,3 - 5,,white/light pink,May - July,,,deer resistant,,,USDA hardiness zones 3-8,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=g590,https://www.wildflower.org/plants/result.php?id_plant=pedi
33,Herbaceous Perennials,PDi1,Phlox divaricta,Woodland phlox,,,violet blue,April - May,,,fragrant,,,USDA hardiness zones 3-8,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=e580,https://www.wildflower.org/plants/result.php?id_plant=PHDI5
34,Herbaceous Perennials,PPa,Phlox paniculata,Garden Phlox,3 - 6,2 - 3,Pink/purple/violet,July - September,,,,,"Attracts birds, butterflies, and hummingbirds","Southern New York to northern Georgia, west to Illinois, Missouri, and",https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=f193,https://www.wildflower.org/plants/result.php?id_plant=PHDI5
