Key / Botanical,Column,Gold value,Scraper value
AT,Bloom Color,"Blue, Purple",Blue
AT,Bloom Time,"Mar, Apr, May","Apr, May"
AT,Sun,"Full Sun, Part Shade",Full sun to part shade
AT,Soil Description,"Wet to moist, sandy soils.",
AT,Condition Comments,"""This species should be cut back after flowering. Blue star has naturalized northeast as far as Massachusetts. A similar species, A. illustris, occurs inland from MO & KS to TX.""",
AT,Native Habitats,"Wet, sandy sites in thin woods & on plains.",
AT,Culture,"""Easily grown in average, medium, well-drained soil in full sun to part shade. Prefers moist, loamy soils. Tolerates some drought. When grown in full sun, plants often require no pruning or staking. When grown in some shade and/or in rich soils, however, plants tend to become more open and floppy and often require staking or pruning. For a neater appearance, particularly for shade-grown plants, consider cutting back stems by 1/2 to 1/3 after flowering to promote bushy growth and, if desired, a more rounded foliage mound.Although cutting back most Amsonias to 6-8"" after bloom is recommended in order to help maintain neatness and increase foliage density, such trimming is usually not needed in the case of this compact cultivar.""","Easily grown in average, medium, well-drained soil in full sun to part shade. Prefers moist, loamy soils. Tolerates some drought. When grown in full sun, plants often require no pruning or staking. When grown in some shade and/or in rich soils, however, plants tend to become more open and floppy and often require staking or pruning. For a neater appearance, particularly for shade-grown plants, consider cutting back stems by 1/2 to 1/3 after flowering to promote bushy growth and, if desired, a more rounded foliage mound. Although cutting back most Amsonias to 6-8"" after bloom is recommended in order to help maintain neatness and increase foliage density, such trimming is usually not needed in the case of this compact cultivar."
AT,Uses,"""Borders, rock gardens, cottage gardens, open woodland areas, rain gardens. Best when massed. Flowers can be used in fresh cut arrangements.""","Borders, rock gardens, cottage gardens, open woodland areas, rain gardens. Best when massed. Flowers can be used in fresh cut arrangements."
AT,Problems,"""No serious insect or disease problems. May require staking to avoid flopping in overly rich soils or shady conditions. Rust may occur. Deer tend to avoid this plant.""",No serious insect or disease problems. May require staking to avoid flopping in overly rich soils or shady conditions. Rust may occur. Deer tend to avoid this plant.
AC,Bloom Color,"Red, Pink, Yellow",Red
AC,Bloom Time,"Feb, Mar, Apr, May, Jun, Jul","Mar, Jul"
AC,Sun,"Full Sun, Part Shade",Full sun to part shade
AC,Tolerates,"Deer, Drought, Rabbit, Dry Soil","Rabbit, Deer, Drought, Dry Soil"
AC,Soil Description,"Sandy, well-drained soils. Medium Loam, Sandy Loam, Limestone-based. Not too rich.",
AC,Condition Comments,"""Red columbine likes moisture but must be in well drained soil. Rich garden soil encourages rank vegetative growth and weak stems and shortens the plant's lifespan, while plants in thin, sandy soils maintain a tight, compact habit and can live for many years. It is evergreen unless the temperature exceeds 110 degrees F or -10 degrees F, which will cause the leaves to go dormant until the temperature returns to a more tolerable level. Do not plant in continuous full sun, as growth will be stunted and leaves may burn.""",
AC,Native Habitats,Partly shaded to shaded woodland habitat with calcareous soils that are not too rich. Central Texas populations primarily in solution-pitted limestone areas in shade.,
