Image Filename,Page Number,Botanical Name,Common Name
page_1_0.png,1,Page_1,
page_1_1.png,1,Page_1,
amsonia_tabernaemontana_0.png,6,Amsonia tabernaemontana,EASTERN BLUE STAR
amsonia_tabernaemontana_1.png,6,Amsonia tabernaemontana,EASTERN BLUE STAR
amsonia_tabernaemontana_2.png,6,Amsonia tabernaemontana,EASTERN BLUE STAR
aquilegia_canadensis_0.png,7,Aquilegia canadensis,RED COLUMBINE
aquilegia_canadensis_1.png,7,Aquilegia canadensis,RED COLUMBINE
arisaema_triphyllum_0.png,8,Arisaema triphyllum,JACK-IN-THE-PULPIT
arisaema_triphyllum_1.png,8,Arisaema triphyllum,JACK-IN-THE-PULPIT
asclepias_incarnata_pulchra_0.png,9,Asclepias incarnata pulchra,SWAMP MILKWEED
asclepias_incarnata_pulchra_1.png,9,Asclepias incarnata pulchra,SWAMP MILKWEED
asclepias_syriaca_0.png,10,Asclepias syriaca,COMMON MILKWEED
asclepias_syriaca_1.png,10,Asclepias syriaca,COMMON MILKWEED
asclepias_tuberosa_0.png,11,Asclepias tuberosa,BUTTERFLY MILKWEED
asclepias_tuberosa_1.png,11,Asclepias tuberosa,BUTTERFLY MILKWEED
baptisia_australis_blue_0.png,12,Baptisia australis blue,BLUE WILD INDIGO
baptisia_australis_blue_1.png,12,Baptisia australis blue,BLUE WILD INDIGO
caltha_palustris_0.png,13,Caltha palustris,MARSH MARIGOLD
chelone_glabra_0.png,14,Chelone glabra,TURTLEHEAD
chelone_glabra_1.png,14,Chelone glabra,TURTLEHEAD
coreopsis_lanceolata_lanceleaf_0.png,15,Coreopsis lanceolata lanceleaf,LANCELEAF TICKSEED
coreopsis_lanceolata_lanceleaf_1.png,15,Coreopsis lanceolata lanceleaf,LANCELEAF TICKSEED
echinacea_purpurea_0.png,16,Echinacea purpurea,PURPLE CONEFLOWER
echinacea_purpurea_1.png,16,Echinacea purpurea,PURPLE CONEFLOWER
eupatorium_coelestinum_0.png,17,Eupatorium coelestinum,BLUE MISTFLOWER
eupatorium_coelestinum_1.png,17,Eupatorium coelestinum,BLUE MISTFLOWER
eupatorium_dubium_0.png,18,Eupatorium dubium,LITTLE JOE PYE WEED
eupatorium_dubium_1.png,18,Eupatorium dubium,LITTLE JOE PYE WEED
eupatorium_maculatum_0.png,19,Eupatorium maculatum,SPOTTED JOE PYE WEED
eupatorium_maculatum_1.png,19,Eupatorium maculatum,SPOTTED JOE PYE WEED
eupatorium_perfoliatum_boneset_0.png,20,Eupatorium perfoliatum boneset,COMMON BONESET
