Plant Type,Key,Botanical Name,Common Name,Height (ft),Spread (ft),Bloom Color,Bloom Time,Sun,Water,Tolerates,Maintenance,Native Habitats,Attracts,Soil Description,Distribution Zone,AGCP Regional Status,Link: Missouri Botanical Garden,Link: Wildflower.org,Link: Pleasantrunnursery.com,Link: Newmoonnursery.com,Link: Pinelandsnursery.com
"Herbaceous, Perennial",AT,Amsonia tabernaemontana,EASTERN BLUE STAR,1 - 1.50,0.75 - 1,"Blue, Purple","Mar, Apr, May","Full Sun, Part Shade",medium,"Deer, Drought, Clay Soil",Low,"Wet, sandy sites in thin woods & on plains.","Butterflies, Pollinators","Wet to moist, sandy soils.",USDA Hardiness Zone 4 to 9,FACW,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=t930,https://www.wildflower.org/plants/result.php?id_plant=amta2,https://www.pleasantrunnursery.com/plant-name/Amsonia-tabernaemontana-Storm-Cloud,https://newmoonnursery.com/nursery-plants/amsonia-tabernaemontana-v-montana/,https://www.pinelandsnursery.com/amsonia-hubrichtii
"Herbaceous, Perennial",AC,Aquilegia canadensis,RED COLUMBINE,2 - 3,1 - 1.50,"Red, Pink, Yellow","Feb, Mar, Apr, May, Jun, Jul","Full Sun, Part Shade",medium,"Deer, Drought, Rabbit, Dry Soil",Medium,Partly shaded to shaded woodland habitat with calcareous soils that are not too rich. Central Texas populations primarily in solution-pitted limestone areas in shade.,Hummingbirds,"Sandy, well-drained soils. Medium Loam, Sandy Loam, Limestone-based. Not too rich.",USDA Hardiness Zone 3 to 8,FACU,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=b400,https://www.wildflower.org/plants/result.php?id_plant=aqca,https://www.pleasantrunnursery.com/plant-name/Aquilegia-canadensis,https://newmoonnursery.com/nursery-plants/aquilegia-canadensis/,https://www.pinelandsnursery.com/aquilegia-canadensis-red-columbine-seed
"Herbaceous, Perennial",AT1,Arisaema triphyllum,JACK-IN-THE-PULPIT,1 - 2,1 - 1.50,"Green, Purple, Brown","Mar, Apr, May, Jun","Part Shade, Full Shade","medium, wet","Wet Soil, Heavy Shade, Black Walnut",Medium,"Forest, Woodland, Swamp, Marsh",,"Humus-rich, moist soils.",USDA Hardiness Zone 4 to 9,FACW,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?taxonid=276310,https://www.wildflower.org/plants/result.php?id_plant=artr,https://www.pleasantrunnursery.com/plant-name/Brunnera-macrophylla-Jack-Frost,,https://www.pinelandsnursery.com/search?query=Arisaema+triphyllum
"Herbaceous, Perennial",AI,Asclepias incarnata,SWAMP MILKWEED,3 - 4,2 - 3,"Pink, Purple","Jun, Jul, Aug, Sep, Oct",Full Sun,"medium, wet","Deer, Clay Soil, Wet Soil",Low,"Wet Meadow, Prairie, Field, Riparian, Swamp, Marsh. Most often found on the margins of flooded plains, lakes, ponds, waterways, marshes, swamps, and other wet areas.","Hummingbirds, Butterflies","Rich, wet, very muddy to average garden moisture. One of the few ornamentals that thrives in mucky clay soils. Prefers neutral to slightly acidic soil but will tolerate heavy clay.",USDA Hardiness Zone 3 to 6,OBL,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=g410,https://www.wildflower.org/plants/result.php?id_plant=asin,https://www.pleasantrunnursery.com/plant-name/Asclepias-incarnata,https://newmoonnursery.com/nursery-plants/asclepias-incarnata-ice-ballet/,https://www.pinelandsnursery.com/asclepias-incarnata-pulchra-seed
"Herbaceous, Perennial",AS,Asclepias syriaca,COMMON MILKWEED,2 - 3,0.75 - 1,"White, Purple","Jun, Jul, Aug",Full Sun,"dry, medium","Deer, Drought, Erosion, Dry Soil, Shallow-Rocky Soil",Low,"Old fields, roadsides, and waste places.",Butterflies,"Medium to fine sandy, clayey, or rocky calcareous soils. Also found in well-drained loamy soils.",USDA Hardiness Zone 3 to 9,UPL,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=b480,https://www.wildflower.org/plants/result.php?id_plant=ASSY,https://www.pleasantrunnursery.com/plant-name/Asclepias-syriaca,https://newmoonnursery.com/nursery-plants/asclepias-verticillata/,https://www.pinelandsnursery.com/asclepias-syriaca
"Herbaceous, Perennial",AT2,Asclepias tuberosa,BUTTERFLY MILKWEED,1 - 2.50,1 - 1.50,"Orange, Yellow","May, Jun, Jul, Aug, Sep",Full Sun,"dry, medium","Deer, Drought, Erosion, Dry Soil, Shallow-Rocky Soil",Low,"Grows in prairies, open woods, canyons, and hillsides throughout most of the state, common in eastern two thirds of Texas, uncommon in the Hill Country. Plant in well-drained sand, loam, clay, or limestone.",Butterflies,Prefers well-drained sandy soils. Tolerates drought.,USDA Hardiness Zone 3 to 9,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=b490,https://www.wildflower.org/plants/result.php?id_plant=astu,https://www.pleasantrunnursery.com/plant-name/Asclepias-tuberosa,https://newmoonnursery.com/nursery-plants/asclepias-tuberosa/,https://www.pinelandsnursery.com/asclepias-tuberosa-butterfly-weed-seed
"Herbaceous, Perennial",BA,Baptisia australis,BLUE WILD INDIGO,1.50 - 2,1.50 - 2,"Blue, Purple","Apr, May, Jun, Jul","Full Sun, Part Shade","dry, medium","Drought, Clay Soil, Erosion, Dry Soil, Shallow-Rocky Soil",Low,Wood edges; limestone glades; prairies,Butterflies,"Moist, well-drained, clays. Tolerates lime.",USDA Hardiness Zone 3 to 8,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=y810,https://www.wildflower.org/plants/result.php?id_plant=BAAU,https://www.pleasantrunnursery.com/plant-name/Baptisia-australis,https://newmoonnursery.com/nursery-plants/baptisia-australis/,https://www.pinelandsnursery.com/baptisia-australis-blue-wild-indigo-seed
"Herbaceous, Perennial",CP,Caltha palustris,MARSH MARIGOLD,1 - 1.50,1 - 1.50,Yellow,"Apr, May","Full Sun, Part Shade",wet,"Deer, Wet Soil, Wet Site Tolerant",Low,"Wet woods, marshy hollows, stream edges","Hummingbirds, Pollinators","Muddy, humus-rich soil.",USDA Hardiness Zone 3 to 7,OBL,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=a635,https://www.wildflower.org/plants/result.php?id_plant=capa5,https://www.pleasantrunnursery.com/plant-name/Caltha-palustris,https://newmoonnursery.com/nursery-plants/caltha-palustris/,https://www.pinelandsnursery.com/rosa-palustris-swamp-rose-15pot
"Herbaceous, Perennial",CG,Chelone glabra,TURTLEHEAD,2 - 3,1.50 - 2.50,"White, Pink","Jul, Aug, Sep",Part Shade,"medium, wet","Wet Soil, Erosion",Low,Brushy marshes; stream banks; wet ditches; low meadows; woodlands,Butterflies,"Light, rich, wet to moist soils.",USDA Hardiness Zone 3 to 8,OBL,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=j780,https://www.wildflower.org/plants/result.php?id_plant=chgl2,https://www.pleasantrunnursery.com/plant-name/Chelone-glabra,https://newmoonnursery.com/nursery-plants/chelone-glabra/,https://www.pinelandsnursery.com/carya-glabra-pignut-hickory-tree-tube
"Herbaceous, Perennial",CL,Coreopsis lanceolata,LANCELEAF TICKSEED,1 - 2,1 - 1.50,Yellow,"Apr, May, Jun",Full Sun,"dry, medium","Deer, Drought, Dry Soil, Shallow-Rocky Soil",Medium,"Open woodlands, Prairie, Plains, Meadows, Pastures, Savannas",Butterflies,"Sandy, gravelly soils. Sandy, Sandy Loam, Medium Loam, Clay Loam, Clay, Acid-based, Calcareous",USDA Hardiness Zone 4 to 9,UPL,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=j880,https://www.wildflower.org/plants/result.php?id_plant=cola5,https://www.pleasantrunnursery.com/plant-name/Coreopsis-lanceolata,https://newmoonnursery.com/nursery-plants/coreopsis-lanceolata/,https://www.pinelandsnursery.com/coreopsis-lanceolata-lanceleaf-tickseed-seed
