Plant Type,Key,Botanical Name,Common Name,Height (ft),Spread (ft),Bloom Color,Bloom Time,Sun,Water,AGCP Regional Status,Distribution Zone,Attracts,Tolerates,Soil Description,Condition Comments,Maintenance,Native Habitats,Culture,Uses,UseXYZ,WFMaintenance,Problems,Link: Missouri Botanical Garden,Link: Wildflower.org,Link: Pleasantrunnursery.com,Link: Newmoonnursery.com,Link: Pinelandsnursery.com
"Herbaceous, Perennial",AT,Amsonia tabernaemontana,EASTERN BLUE STAR,1 - 1.50,0.75 - 1,"Blue, Purple","Mar, Apr, May","Full Sun, Part Shade",medium,FACW,USDA Hardiness Zone 4 to 9,"Butterflies, Pollinators","Deer, Drought, Clay Soil","Wet to moist, sandy soils.",,Low,"Wet, sandy sites in thin woods & on plains.",,,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=t930,https://www.wildflower.org/plants/result.php?id_plant=amta2,https://www.pleasantrunnursery.com/plant-name/Amsonia-tabernaemontana-Storm-Cloud,https://newmoonnursery.com/nursery-plants/amsonia-tabernaemontana-v-montana/,https://www.pinelandsnursery.com/amsonia-hubrichtii
"Herbaceous, Perennial",AC,Aquilegia canadensis,RED COLUMBINE,2 - 3,1 - 1.50,"Red, Pink, Yellow","Feb, Mar, Apr, May, Jun, Jul","Full Sun, Part Shade",medium,FACU,USDA Hardiness Zone 3 to 8,Hummingbirds,"Deer, Drought, Rabbit, Dry Soil","Sandy, well-drained soils. Medium Loam, Sandy Loam, Limestone-based. Not too rich.",,Medium,Partly shaded to shaded woodland habitat with calcareous soils that are not too rich. Central Texas populations primarily in solution-pitted limestone areas in shade.,,,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=b400,https://www.wildflower.org/plants/result.php?id_plant=aqca,https://www.pleasantrunnursery.com/plant-name/Aquilegia-canadensis,https://newmoonnursery.com/nursery-plants/aquilegia-canadensis/,https://www.pinelandsnursery.com/aquilegia-canadensis-red-columbine-seed
"Herbaceous, Perennial",AT1,Arisaema triphyllum,JACK-IN-THE-PULPIT,1 - 2,1 - 1.50,"Green, Purple, Brown","Mar, Apr, May, Jun","Part Shade, Full Shade","medium, wet",FACW,USDA Hardiness Zone 4 to 9,,"Wet Soil, Heavy Shade, Black Walnut","Humus-rich, moist soils.",,Medium,"Forest, Woodland, Swamp, Marsh",,,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?taxonid=276310,https://www.wildflower.org/plants/result.php?id_plant=artr,https://www.pleasantrunnursery.com/plant-name/Brunnera-macrophylla-Jack-Frost,,https://www.pinelandsnursery.com/search?query=Arisaema+triphyllum
"Herbaceous, Perennial",AI,Asclepias incarnata,SWAMP MILKWEED,3 - 4,2 - 3,"Pink, Purple","Jun, Jul, Aug, Sep, Oct",Full Sun,"medium, wet",OBL,USDA Hardiness Zone 3 to 6,"Hummingbirds, Butterflies","Deer, Clay Soil, Wet Soil","Rich, wet, very muddy to average garden moisture. One of the few ornamentals that thrives in mucky clay soils. Prefers neutral to slightly acidic soil but will tolerate heavy clay.",,Low,"Wet Meadow, Prairie, Field, Riparian, Swamp, Marsh. Most often found on the margins of flooded plains, lakes, ponds, waterways, marshes, swamps, and other wet areas.",,,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=g410,https://www.wildflower.org/plants/result.php?id_plant=asin,https://www.pleasantrunnursery.com/plant-name/Asclepias-incarnata,https://newmoonnursery.com/nursery-plants/asclepias-incarnata-ice-ballet/,https://www.pinelandsnursery.com/asclepias-incarnata-pulchra-seed
"Herbaceous, Perennial",AS,Asclepias syriaca,COMMON MILKWEED,2 - 3,0.75 - 1,"White, Purple","Jun, Jul, Aug",Full Sun,"dry, medium",UPL,USDA Hardiness Zone 3 to 9,Butterflies,"Deer, Drought, Erosion, Dry Soil, Shallow-Rocky Soil","Medium to fine sandy, clayey, or rocky calcareous soils. Also found in well-drained loamy soils.",,Low,"Old fields, roadsides, and waste places.",,,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=b480,https://www.wildflower.org/plants/result.php?id_plant=ASSY,https://www.pleasantrunnursery.com/plant-name/Asclepias-syriaca,https://newmoonnursery.com/nursery-plants/asclepias-verticillata/,https://www.pinelandsnursery.com/asclepias-syriaca
"Herbaceous, Perennial",AT2,Asclepias tuberosa,BUTTERFLY MILKWEED,1 - 2.50,1 - 1.50,"Orange, Yellow","May, Jun, Jul, Aug, Sep",Full Sun,"dry, medium",,USDA Hardiness Zone 3 to 9,Butterflies,"Deer, Drought, Erosion, Dry Soil, Shallow-Rocky Soil",Prefers well-drained sandy soils. Tolerates drought.,,Low,"Grows in prairies, open woods, canyons, and hillsides throughout most of the state, common in eastern two thirds of Texas, uncommon in the Hill Country. Plant in well-drained sand, loam, clay, or limestone.",,,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=b490,https://www.wildflower.org/plants/result.php?id_plant=astu,https://www.pleasantrunnursery.com/plant-name/Asclepias-tuberosa,https://newmoonnursery.com/nursery-plants/asclepias-tuberosa/,https://www.pinelandsnursery.com/asclepias-tuberosa-butterfly-weed-seed
"Herbaceous, Perennial",BA,Baptisia australis,BLUE WILD INDIGO,1.50 - 2,1.50 - 2,"Blue, Purple","Apr, May, Jun, Jul","Full Sun, Part Shade","dry, medium",,USDA Hardiness Zone 3 to 8,Butterflies,"Drought, Clay Soil, Erosion, Dry Soil, Shallow-Rocky Soil","Moist, well-drained, clays. Tolerates lime.",,Low,Wood edges; limestone glades; prairies,,,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=y810,https://www.wildflower.org/plants/result.php?id_plant=BAAU,https://www.pleasantrunnursery.com/plant-name/Baptisia-australis,https://newmoonnursery.com/nursery-plants/baptisia-australis/,https://www.pinelandsnursery.com/baptisia-australis-blue-wild-indigo-seed
"Herbaceous, Perennial",CP,Caltha palustris,MARSH MARIGOLD,1 - 1.50,1 - 1.50,Yellow,"Apr, May","Full Sun, Part Shade",wet,OBL,USDA Hardiness Zone 3 to 7,"Hummingbirds, Pollinators","Deer, Wet Soil, Wet Site Tolerant","Muddy, humus-rich soil.",,Low,"Wet woods, marshy hollows, stream edges",,,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=a635,https://www.wildflower.org/plants/result.php?id_plant=capa5,https://www.pleasantrunnursery.com/plant-name/Caltha-palustris,https://newmoonnursery.com/nursery-plants/caltha-palustris/,https://www.pinelandsnursery.com/rosa-palustris-swamp-rose-15pot
"Herbaceous, Perennial",CG,Chelone glabra,TURTLEHEAD,2 - 3,1.50 - 2.50,"White, Pink","Jul, Aug, Sep",Part Shade,"medium, wet",OBL,USDA Hardiness Zone 3 to 8,Butterflies,"Wet Soil, Erosion","Light, rich, wet to moist soils.",,Low,Brushy marshes; stream banks; wet ditches; low meadows; woodlands,,,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=j780,https://www.wildflower.org/plants/result.php?id_plant=chgl2,https://www.pleasantrunnursery.com/plant-name/Chelone-glabra,https://newmoonnursery.com/nursery-plants/chelone-glabra/,https://www.pinelandsnursery.com/carya-glabra-pignut-hickory-tree-tube
"Herbaceous, Perennial",CL,Coreopsis lanceolata,LANCELEAF TICKSEED,1 - 2,1 - 1.50,Yellow,"Apr, May, Jun",Full Sun,"dry, medium",UPL,USDA Hardiness Zone 4 to 9,Butterflies,"Deer, Drought, Dry Soil, Shallow-Rocky Soil","Sandy, gravelly soils. Sandy, Sandy Loam, Medium Loam, Clay Loam, Clay, Acid-based, Calcareous",,Medium,"Open woodlands, Prairie, Plains, Meadows, Pastures, Savannas",,,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=j880,https://www.wildflower.org/plants/result.php?id_plant=cola5,https://www.pleasantrunnursery.com/plant-name/Coreopsis-lanceolata,https://newmoonnursery.com/nursery-plants/coreopsis-lanceolata/,https://www.pinelandsnursery.com/coreopsis-lanceolata-lanceleaf-tickseed-seed
