Plant Type,Key,Botanical Name,Common Name,Height (ft),Spread (ft),Bloom Color,Bloom Time,Sun,Water,AGCP Regional Status,USDA Hardiness Zone,Attracts,Tolerates,Soil Description,Condition Comments,MaintenanceLevel,Native Habitats,Culture,Uses,UseXYZ,WFMaintenance,Problems,Link: Missouri Botanical Garden,Link: Wildflower.org,Link: Pleasantrunnursery.com,Link: Newmoonnursery.com,Link: Pinelandsnursery.com,Rev
"Herbaceous, Perennial",,Amsonia tabernaemontana,"BLUE STAR, BLUE DOGBANE",,,,,,,,,,,,,,,,,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?taxonid=276088&isprofile=1&gen=Amsonia,https://www.wildflower.org/plants/result.php?id_plant=amta2,"NA",https://newmoonnursery.com/nursery-plants/amsonia-tabernaemontana/,"NA",20250611_AN
"Herbaceous, Perennial",,Amsonia tabernaemontana 'Montana',BLUE STAR,,,,,,,,,,,,,,,,,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?taxonid=262985&isprofile=0&,"NA","NA",https://newmoonnursery.com/nursery-plants/amsonia-tabernaemontana-v-montana/,"NA",20250611_AN
"Herbaceous, Perennial",,Amsonia tabernaemontana 'Salicifolia',WILLOW LEAF BLUE STAR,,,,,,,,,,,,,,,,,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?taxonid=276139&isprofile=0&hf=1,https://www.wildflower.org/plants/result.php?id_plant=AMTAS,https://www.pleasantrunnursery.com/plant-name/Amsonia-tabernaemontana-var--salicifolia,https://newmoonnursery.com/nursery-plants/amsonia-tabernaemontana-v-salicifolia/,"NA",20250611_AN
"Herbaceous, Perennial",,Amsonia hubrichtii,THREADLEAF BLUE STAR,,,,,,,,,,,,,,,,,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=w810,https://www.wildflower.org/plants/result.php?id_plant=AMHU,https://www.pleasantrunnursery.com/plant-name/Amsonia-hubrichtii,"NA",https://www.pinelandsnursery.com/amsonia-hubrichtii,20250611_AN
"Herbaceous, Perennial",,Aquilegia canadensis,RED COLUMBINE,,,,,,,,,,,,,,,,,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=b400,https://www.wildflower.org/plants/result.php?id_plant=aqca,https://www.pleasantrunnursery.com/plant-name/Aquilegia-canadensis,https://newmoonnursery.com/nursery-plants/aquilegia-canadensis/,https://www.pinelandsnursery.com/aquilegia-canadensis-red-columbine-seed,20250611_AN
"Herbaceous, Perennial",,Arisaema triphyllum,JACK-IN-THE-PULPIT,,,,,,,,,,,,,,,,,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?taxonid=276310,https://www.wildflower.org/plants/result.php?id_plant=artr,"NA","NA","NA",20250611_AN
"Herbaceous, Perennial",,Asclepias incarnata,SWAMP MILKWEED,,,,,,,,,,,,,,,,,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=g410,https://www.wildflower.org/plants/result.php?id_plant=asin,https://www.pleasantrunnursery.com/plant-name/Asclepias-incarnata,https://newmoonnursery.com/nursery-plants/asclepias-incarnata/,https://www.pinelandsnursery.com/asclepias-incarnata-swamp-milkweed1-pot,20250611_AN
"Herbaceous, Perennial",,Asclepias incarnata 'Ice Ballet',ICE BALLET SWAMP MILKWEED,,,,,,,,,,,,,,,,,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?taxonid=254189&isprofile=0,"NA",https://www.pleasantrunnursery.com/plant-name/Asclepias-incarnata-Ice-Ballet,https://newmoonnursery.com/nursery-plants/asclepias-incarnata-ice-ballet/,"NA",20250611_AN
"Herbaceous, Perennial",,Asclepias syriaca,COMMON MILKWEED,,,,,,,,,,,,,,,,,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=b480,https://www.wildflower.org/plants/result.php?id_plant=ASSY,https://www.pleasantrunnursery.com/plant-name/Asclepias-syriaca,"NA",https://www.pinelandsnursery.com/asclepias-syriaca,20250611_AN
"Herbaceous, Perennial",,Asclepias tuberosa,BUTTERFLY MILKWEED,,,,,,,,,,,,,,,,,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=b490,https://www.wildflower.org/plants/result.php?id_plant=astu,https://www.pleasantrunnursery.com/plant-name/Asclepias-tuberosa,https://newmoonnursery.com/nursery-plants/asclepias-tuberosa/,https://www.pinelandsnursery.com/asclepias-tuberosa-butterfly-weed-seed,20250611_AN
"Herbaceous, Perennial",,Baptisia australis,"BLUE WILD INDIGO, BLUE FALSE INDIGO",,,,,,,,,,,,,,,,,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=b660,https://www.wildflower.org/plants/result.php?id_plant=BAAU,https://www.pleasantrunnursery.com/plant-name/Baptisia-australis,https://newmoonnursery.com/nursery-plants/baptisia-australis/,https://www.pinelandsnursery.com/baptisia-australis-blue-wild-indigo-seed,20250611_AN
"Herbaceous, Perennial",,Caltha palustris,MARSH MARIGOLD,,,,,,,,,,,,,,,,,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=a635,https://www.wildflower.org/plants/result.php?id_plant=capa5,https://www.pleasantrunnursery.com/plant-name/Caltha-palustris,https://newmoonnursery.com/nursery-plants/caltha-palustris/,"NA",20250611_AN
"Herbaceous, Perennial",,Chelone glabra,WHITE TURTLEHEAD,,,,,,,,,,,,,,,,,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=j780,https://www.wildflower.org/plants/result.php?id_plant=chgl2,https://www.pleasantrunnursery.com/plant-name/Chelone-glabra,https://newmoonnursery.com/nursery-plants/chelone-glabra/,"NA",20250611_AN
"Herbaceous, Perennial",,Coreopsis lanceolata,LANCELEAF TICKSEED,,,,,,,,,,,,,,,,,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=j880,https://www.wildflower.org/plants/result.php?id_plant=cola5,https://www.pleasantrunnursery.com/plant-name/Coreopsis-lanceolata,https://newmoonnursery.com/nursery-plants/coreopsis-lanceolata/,https://www.pinelandsnursery.com/coreopsis-lanceolata-lanceleaf-tickseed-seed,20250611_AN
"Herbaceous, Perennial",,Echinacea purpurea,PURPLE CONEFLOWER,,,,,,,,,,,,,,,,,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=c580,https://www.wildflower.org/plants/result.php?id_plant=ecpu,https://www.pleasantrunnursery.com/plant-name/Echinacea-purpurea,https://newmoonnursery.com/nursery-plants/echinacea-purpurea/,https://www.pinelandsnursery.com/echinacea-purpurea-purple-coneflower-1-pot,20250611_AN
"Herbaceous, Perennial",,Eupatorium coelestinum,BLUE MISTFLOWER,,,,,,,,,,,,,,,,,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=j870,https://www.wildflower.org/plants/result.php?id_plant=coco13,https://www.pleasantrunnursery.com/plant-name/Eupatorium-coelestinum,https://newmoonnursery.com/nursery-plants/eupatorium-coelestinum/,https://www.pinelandsnursery.com/conoclinium-coelestinum-blue-mistflower-2-plug,20250611_AN
"Herbaceous, Perennial",,Eupatorium dubium,"LITTLE JOE PYE WEED, COASTAL PLAIN JOE PYE WEED",,,,,,,,,,,,,,,,,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=b781,https://www.wildflower.org/plants/result.php?id_plant=EUDU6,https://www.pleasantrunnursery.com/plant-name/Eupatorium-dubium-Baby-Joe,https://newmoonnursery.com/nursery-plants/eupatorium-dubium/,https://www.pinelandsnursery.com/eutrochium-dubium-seed,20250611_AN
"Herbaceous, Perennial",,Eupatorium maculatum,SPOTTED JOE PYE WEED,,,,,,,,,,,,,,,,,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?taxonid=292659&isprofile=1&basic=eutrochium,https://www.wildflower.org/plants/result.php?id_plant=EUMAB4,https://www.pleasantrunnursery.com/plant-name/Eupatorium-maculatum-Gateway,https://newmoonnursery.com/nursery-plants/eupatorium-maculatum/,https://www.pinelandsnursery.com/eupatorium-maculatum-spotted-joe-pye-weed-2-plug,20250611_AN
"Herbaceous, Perennial",,Eupatorium perfoliatum,"COMMON BONESET, AMERICAN BONESET",,,,,,,,,,,,,,,,,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?taxonid=277187,https://www.wildflower.org/plants/result.php?id_plant=eupe3,https://www.pleasantrunnursery.com/plant-name/Eupatorium-perfoliatum,https://newmoonnursery.com/nursery-plants/eupatorium-perfoliatum/,https://www.pinelandsnursery.com/eupatorium-perfoliatum-boneset-seed,20250611_AN
"Herbaceous, Perennial",,Eupatorium purpureum,PURPLE JOE PYE WEED,,,,,,,,,,,,,,,,,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=c740,https://www.wildflower.org/plants/result.php?id_plant=eupu21,"NA",https://newmoonnursery.com/nursery-plants/eupatorium-purpureum/,"NA",20250611_AN
"Herbaceous, Perennial",,Eurybia divaricata,WHITE WOOD ASTER,,,,,,,,,,,,,,,,,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=h170,https://www.wildflower.org/plants/result.php?id_plant=EUDI16,"NA",https://newmoonnursery.com/nursery-plants/aster-divaricatus/,https://www.pinelandsnursery.com/eurybia-divaricata-white-wood-aster-seed,20250611_AN
"Herbaceous, Perennial",,Helenium autumnale,COMMON SNEEZEWEED,,,,,,,,,,,,,,,,,,,,https://www.missouribotanicalgarden.org/plantfinder/plantfinderdetails.aspx?kempercode=c930,https://www.wildflower.org/plants/result.php?id_plant=heau,https://www.pleasantrunnursery.com/plant-name/Sombrero_Sneezeweed,https://newmoonnursery.com/nursery-plants/helenium-autumnale/,https://www.pinelandsnursery.com/helenium-autumnale-sneezeweed-seed,20250611_AN
"Herbaceous, Perennial",,Heliopsis helianthoides,"SMOOTH OXEYE, OXEYE SUNFLOWER",,,,,,,,,,,,,,,,,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=g520,https://www.wildflower.org/plants/result.php?id_plant=HEHE5,https://www.pleasantrunnursery.com/plant-name/Heliopsis-helianthoides,https://newmoonnursery.com/nursery-plants/heliopsis-helianthoides/,https://www.pinelandsnursery.com/heliopsis-helianthoides-false-sunflower-seed,20250611_AN
"Herbaceous, Perennial",,Hibiscus moscheutos,SWAMP ROSEMALLOW,,,,,,,,,,,,,,,,,,,,https://www.missouribotanicalgarden.org/plantfinder/PlantFinderDetails.aspx?taxonid=282590,https://www.wildflower.org/plants/result.php?id_plant=HIMO,https://www.pleasantrunnursery.com/plant-name/Hibiscus-moscheutos,https://newmoonnursery.com/nursery-plants/hibiscus-moscheutos/,https://www.pinelandsnursery.com/hibiscus-moscheutos-swamp-rose-mallow-seed,20250611_AN
"Herbaceous, Perennial",,Iris versicolor,"BLUE FLAG, BLUE WATER IRIS",,,,,,,,,,,,,,,,,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?taxonid=281141,https://www.wildflower.org/plants/result.php?id_plant=irve2,https://www.pleasantrunnursery.com/plant-name/Iris-versicolor,https://newmoonnursery.com/nursery-plants/iris-versicolor/,https://www.pinelandsnursery.com/iris-versicolor-blue-flag-iris-1-pot,20250611_AN
"Herbaceous, Perennial",,Liatris spicata,DENSE BLAZING STAR,,,,,,,,,,,,,,,,,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=d790,https://www.wildflower.org/plants/result.php?id_plant=lisp,https://www.pleasantrunnursery.com/plant-name/Liatris-spicata,https://newmoonnursery.com/nursery-plants/liatris-spicata/,https://www.pinelandsnursery.com/liatris-spicata-dense-blazingstar-seed,20250611_AN
"Herbaceous, Perennial",,Lilium superbum,TURK'S CAP LILY,,,,,,,,,,,,,,,,,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=d880,https://www.wildflower.org/plants/result.php?id_plant=lisu,"NA","NA","NA",20250611_AN
"Herbaceous, Perennial",,Lobelia cardinalis,CARDINAL FLOWER,,,,,,,,,,,,,,,,,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=d940,https://www.wildflower.org/plants/result.php?id_plant=loca2,https://www.pleasantrunnursery.com/plant-name/Lobelia-cardinalis,https://newmoonnursery.com/nursery-plants/lobelia-cardinalis/,https://www.pinelandsnursery.com/lobelia-cardinalis-cardinal-flower-1-pot,20250611_AN
