Page in PDF,Plant Type,Key,Botanical Name,Common Name,Height (ft),Spread (ft),Bloom Color,Bloom Time,Sun,Water,Characteristics,Habitats,Wildlife Benefits,Distribution,Link: Missouri Botanical Garden,Link: Wildflower.org
3,"Herbaceous, Perennial",AT,Amsonia tabernaemontana,Eastern blue star,2 - 3,2 - 3,,,,,,,,,,
4,"Herbaceous, Perennial",AC,Aquilegia canadensis,Red columbine,1 - 3,1 - 2,,,,,,,,,,
5,"Herbaceous, Perennial",AT1,Arisaema triphyllum,Jack-in-the-pulpit,1 - 2,1 - 1.5,,,,,,,,,,
6,"Herbaceous, Perennial",AI,Asclepias incarnata,Swamp milkweed,,,,,,,,,,,,
7,"Herbaceous, Perennial",AS,Asclepias syriaca,Common Milkweed,3 - 6,,,,,,,,,,,
8,"Herbaceous, Perennial",AT2,Asclepias tuberosa,Butterfly Milkweed,1 - 2,,,,,,,,,,,
9,"Herbaceous, Perennial",BA,Baptisia australis,Blue Wild Indigo,3 - 5,,,,,,,,,,,
10,"Herbaceous, Perennial",CP,Caltha palustris,Marsh Marigold,,,,,,,,,,,,
11,"Herbaceous, Perennial",CG,Chelone glabra,Turtlehead,2 - 4,1 - 2,,,,,,,,,,
12,"Herbaceous, Perennial",CL,Coreopsis lanceolata,Lanceleaf tickseed,1 - 2,,,,,,,,,,,
13,"Herbaceous, Perennial",EP,Echinacea purpurea,Purple Coneflower,2 - 4,1.5 - 2,,,,,,,,,,
14,"Herbaceous, Perennial",EC,Eupatorium coelestinum,Blue mistflower,1 - 2,,,,,,,,,,,
15,"Herbaceous, Perennial",ED,Eupatorium dubium,Little Joe Pye weed,3 - 4,2 - 3,,,,,,,,,,
16,"Herbaceous, Perennial",EM,Eupatorium maculatum,Spotted Joe Pye weed,4 - 6,3 - 4,,,,,,,,,,
17,"Herbaceous, Perennial",EP1,Eupatorium perfoliatum,Common boneset,2 - 4,2,,,,,,,,,,
18,"Herbaceous, Perennial",EP2,Eupatorium purpureum,Joe Pye Weed,3 - 7,2 - 4,,,,,,,,,,
19,"Herbaceous, Perennial",ED1,Eurybia divaricata,White wood aster,2 - 3,2 - 4,,,,,,,,,,
20,"Herbaceous, Perennial",HA,Helenium autumnale,Common Sneezeweed,2 - 5,2 - 3,,,,,,,,,,
21 - 22,"Herbaceous, Perennial",HH,Heliopsis helianthoides,Smooth Oxeye,,,,,,,,,,,,
23,"Herbaceous, Perennial",HM,Hibiscus moscheutos,"Hibiscus , Swamp rosemallow",3 - 7,3 - 4,,,,,,,,,,
24,"Herbaceous, Perennial",IV,Iris versicolor,"Blue flag, Blue water iris",2 - 3,,,,,,,,,,,
25,"Herbaceous, Perennial",LS,Liatris spicata,Dense blazing star,3 - 4,,,,,,,,,,,
26,"Herbaceous, Perennial",LS1,Lilium superbum,Turk's Cap Lily,,,,,,,,,,,,
27,"Herbaceous, Perennial",LC,Lobelia cardinalis,Cardinal flower,2 - 4,,,,,,,,,,,
28,"Herbaceous, Perennial",LS2,Lobelia siphilitica,Blue Lobelia,1 - 5,,,,,,,,,,,
29,"Herbaceous, Perennial",MR,Mimulus ringens,Monkey Flower,,,,,,,,,,,,
