Type,Characteristics,Key,Botanical Name,Common Name,Height (ft),Spread (ft),Bloom Color,Bloom Time,Sun,Habitats,Water,Wetland Status,Wildlife Benefits,Distribution,Link: Missouri Botanical Garden,Link: Wildflower.org
"GRASSES, SEDGES, AND RUSHES",,,Andropogon gerardii,Big Bluestem,4-8,,Flower Color,Flowering Period,,,,,,,,
"GRASSES, SEDGES, AND RUSHES",,,Carex amphibola,Creek sedge,8 to 12,Spread,,Flowering Period,,,,facultative wetland,,,,
"GRASSES, SEDGES, AND RUSHES",,,Carex crinita,Fringed Sedge,1 to 3,Spread,Flower Color,Flowering Period,,,,Facultative wetland,,,,
"GRASSES, SEDGES, AND RUSHES",,,Carex grayi,Gray Sedge,,,Bloom Color,Flowering Period,,,,facultative,,,,
"GRASSES, SEDGES, AND RUSHES",,,Carex laxiculmis,Creeping Sedge,,,Bloom Color,Flowering Period,,,,obligatec,,,,
"GRASSES, SEDGES, AND RUSHES",,,Carex pensylvanica,Pennsylvania sedge or Oak sedge,,,,,,"Upland woods, open wooded bluffs and slopes, clearings in woods, pine barrens, oak",,,,,,
"GRASSES, SEDGES, AND RUSHES",,,Carex plantaginea,Seersucker Sedge,,,Bloom Color,Flowering Period,,,,none,,,,
"GRASSES, SEDGES, AND RUSHES",,,Carex stipata,Awl-fruited sedge,1-3,,,Bloom Period,,,,obligate,,,,
"GRASSES, SEDGES, AND RUSHES",,,Carex stricta,Tussock Sedge,2 to 5,Spread,Flower Color,Flowering Period,,,,OBL Obligate,,,,
"GRASSES, SEDGES, AND RUSHES",,,Carex vulpinoidea,Fox sedge,,,,Flowering Period,,,,Obligate wetland,,,,
"GRASSES, SEDGES, AND RUSHES",,,Chasmanthium latifolium,Northern sea oats,3 to 5,Spread,,,,Occurs in rich woods or rocky slopes along streams and on moist bluffs,,,,,,
"GRASSES, SEDGES, AND RUSHES",,,Deshampsia cespitosa,Tufted hairgrass,2 to 4,Spread,,,,"Coastal terraces, upper tidal marshes, seasonally wet prairies, moist subalpine",,Facultative Wetland,,,,
"GRASSES, SEDGES, AND RUSHES",,,Elymus virginicus,Virginia wild rye,3 to 5,,Bloom Color,Flowering Period,,,,facultative wetland,,,,
"GRASSES, SEDGES, AND RUSHES",,,Eragrostis spectabilis,Purple lovegrass,1 to 2,Spread,Flower Color,Flowering Period,,"Commonly in sandy, rocky, or open ground in dry prairies, upland savannas,",,Upland,,,,
"GRASSES, SEDGES, AND RUSHES",,,Juncus effusus,Soft rush,,,,Flowering Period,,,,Facultative wetland,,,,
"GRASSES, SEDGES, AND RUSHES",,,Panicum virgatum,Switchgrass,,,Bloom Color,Flowering Period,,,,,,,,
"GRASSES, SEDGES, AND RUSHES",,,Schizachyrium scoparium,Little Bluestem,,,Flower Color,Flowering Period,,,,facultative upland,,,,
"GRASSES, SEDGES, AND RUSHES",,,Sorghastrum nutans,Indiangrass,3-5,,Flower Color,Flowering Period,,,,,,,,
"GRASSES, SEDGES, AND RUSHES",,,Sporobolus heterolepis,Prairie Dropseed,,,Bloom Color,Flowering Period,,,,upland,,,,
