Botanical Name,Height (ft),Spread (ft),Bloom Color,Bloom Time,Sun,Water,Wetland Status,Type,Characteristics,Key,Common Name,Habitats,Wildlife Benefits,Distribution,Link: Missouri Botanical Garden,Link: Wildflower.org,Plant Type
Amsonia tabernaemontana,2-3,2-3,blue or purple,March through June,"Full sun, Part shade",Medium,Upland,HERBACEOUS PERENNIALS,,,Eastern blue star,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderSearch.aspx?t=Amsonia+tabernaemontana,https://www.wildflower.org/plants/search.php?search_field=name_substring&value=amsonia-tabernaemontana,Herbaceous Perennials
Aquilegia canadensis,2-3,1-1.5,red,Apr-May,"Full sun, Part shade",Medium,Upland,HERBACEOUS PERENNIALS,,,Red columbine,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderSearch.aspx?t=Aquilegia+canadensis,https://www.wildflower.org/plants/search.php?search_field=name_substring&value=aquilegia-canadensis,Herbaceous Perennials
Arisaema triphyllum,1-2,1-1.5,"Green, purple, brown",April to July,"Part shade, Shade",Medium,Facultative Wetland,HERBACEOUS PERENNIALS,,,Jack-in-the-pulpit,"Forest, woodland, swamp, or marsh",,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderSearch.aspx?t=Arisaema+triphyllum,https://www.wildflower.org/plants/search.php?search_field=name_substring&value=arisaema-triphyllum,Herbaceous Perennials
Asclepias incarnata,3-4,2-3,pink to purplish red,June through August,Full sun,Medium-Wet,Obligate Wetland,HERBACEOUS PERENNIALS,,,Swamp milkweed,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderSearch.aspx?t=Asclepias+incarnata,https://www.wildflower.org/plants/search.php?search_field=name_substring&value=asclepias-incarnata,Herbaceous Perennials
Asclepias syriaca,3-6,2-3,Pink,Jun-Jul,Full sun,Medium-Dry,Upland,HERBACEOUS PERENNIALS,,,Common Milkweed,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderSearch.aspx?t=Asclepias+syriaca,https://www.wildflower.org/plants/search.php?search_field=name_substring&value=asclepias-syriaca,Herbaceous Perennials
Asclepias tuberosa,1-2.5,1-1.5,Orange to yellow-orange,Jun-Aug,Full sun,Dry-Medium,Upland,HERBACEOUS PERENNIALS,,,Butterfly Milkweed,,"Key nectar source for monarchs, other butterflies; drought-tolerant",Eastern & Central US; Great Plains,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=b490,https://www.wildflower.org/plants/result.php?id_plant=astu,Herbaceous Perennials
Baptisia australis,3-4,3-4,Blue,May–Jun,"Full sun, Part shade",Dry-Medium,Upland,HERBACEOUS PERENNIALS,,,Blue Wild Indigo,,Deep-rooted legume; pollinator nectar; host for butterfly larvae,"PA to GA, west to KS, TX",https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=b660,https://www.wildflower.org/plants/result.php?id_plant=baau,Herbaceous Perennials
Caltha palustris,1-1.5,1-1.5,Bright yellow,April into June,"Full sun, Part shade",Wet,Obligate Wetland,HERBACEOUS PERENNIALS,,,Marsh Marigold,,Early nectar for pollinators; wetland restoration plant,"Circumboreal; NL to AK, south to NC, TN",https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?taxonid=286073,https://www.wildflower.org/plants/result.php?id_plant=capa5,Herbaceous Perennials
Chelone glabra,2-3,1.5-2.5,white,July through October,Part shade,Medium-Wet,Facultative Wetland,HERBACEOUS PERENNIALS,,,Turtlehead,,Host plant for Baltimore checkerspot butterfly; attracts bumblebees,"NL to GA, west to MN, TN",https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?taxonid=286965,https://www.wildflower.org/plants/result.php?id_plant=chgl2,Herbaceous Perennials
Coreopsis lanceolata,1-2,1-1.5,yellow,June through August,Full sun,Dry-Medium,Upland,HERBACEOUS PERENNIALS,,,Lanceleaf tickseed,,Long bloom for bees & pollinators; self‑seeds in poor soils,Widespread US except far NW & NE,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=j880,https://www.wildflower.org/plants/result.php?id_plant=cola5,Herbaceous Perennials
Echinacea purpurea,2-4,1.5-2,Purple,Jun–Aug,"Full sun, Part shade",Medium,Upland,HERBACEOUS PERENNIALS,,,Purple Coneflower,,Nectar for butterflies & bees; seeds for finches,OH to IA south to LA & GA,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=c580,https://www.wildflower.org/plants/result.php?id_plant=ecpu,Herbaceous Perennials
Eupatorium coelestinum,1 to 2,,Purple,July to November,"Sun, part shade",,Facultative,HERBACEOUS PERENNIALS,,,Blue mistflower,Naturalized prairie or meadow plantings and along roadsides.c,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderSearch.aspx?t=Eupatorium+coelestinum,https://www.wildflower.org/plants/search.php?search_field=name_substring&value=eupatorium-coelestinum,Herbaceous Perennials
Eupatorium dubium,3 to 4,Spread,"light pink, or lavender",August through September,,,facultative,HERBACEOUS PERENNIALS,,,Little Joe Pye weed,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderSearch.aspx?t=Eupatorium+dubium,https://www.wildflower.org/plants/search.php?search_field=name_substring&value=eupatorium-dubium,Herbaceous Perennials
Eupatorium maculatum,4 to 6,Spread,pink,July through September,,,facultative wetland,HERBACEOUS PERENNIALS,,,Spotted Joe Pye weed,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderSearch.aspx?t=Eupatorium+maculatum,https://www.wildflower.org/plants/search.php?search_field=name_substring&value=eupatorium-maculatum,Herbaceous Perennials
Eupatorium perfoliatum,3-4,2-3,white,August through September,"Full sun, Part shade",Medium-Wet,Obligate Wetland,HERBACEOUS PERENNIALS,,,Common boneset,,Nectar for bees & butterflies; host for moth larvae,Eastern & Central US,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?taxonid=277187,https://www.wildflower.org/plants/result.php?id_plant=eupe3,Herbaceous Perennials
Eupatorium purpureum,3-7,Spread,Flower Color,Flowering Period,,,Facultative,HERBACEOUS PERENNIALS,,,Joe Pye Weed,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderSearch.aspx?t=Eupatorium+purpureum,https://www.wildflower.org/plants/search.php?search_field=name_substring&value=eupatorium-purpureum,Herbaceous Perennials
Eurybia divaricata,2 to 3,Spread,white,September through November,,,no wetland indicator,HERBACEOUS PERENNIALS,,,White wood aster,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderSearch.aspx?t=Eurybia+divaricata,https://www.wildflower.org/plants/search.php?search_field=name_substring&value=eurybia-divaricata,Herbaceous Perennials
Helenium autumnale,2-5,Spread,Flower Color,Flowering Period,,,Facultative Wetland,HERBACEOUS PERENNIALS,,,Common Sneezeweed,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderSearch.aspx?t=Helenium+autumnale,https://www.wildflower.org/plants/search.php?search_field=name_substring&value=helenium-autumnale,Herbaceous Perennials
Hibiscus moscheutos,3 to 7,Spread,"pink, red, or white",July through September,,,obligate,HERBACEOUS PERENNIALS,,,Hibiscus or Swamp rosemallow,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderSearch.aspx?t=Hibiscus+moscheutos,https://www.wildflower.org/plants/search.php?search_field=name_substring&value=hibiscus-moscheutos,Herbaceous Perennials
Iris versicolor,2 to 3,,Blue or violet,May,,,Obligate wetland,HERBACEOUS PERENNIALS,,,"Blue flag, Blue water iris","Swamps, Marshes, and Wet Shores",,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderSearch.aspx?t=Iris+versicolor,https://www.wildflower.org/plants/search.php?search_field=name_substring&value=iris-versicolor,Herbaceous Perennials
Liatris spicata,3 to 4,,purple,June through August,,low,facultative,HERBACEOUS PERENNIALS,,,Dense blazing star,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderSearch.aspx?t=Liatris+spicata,https://www.wildflower.org/plants/search.php?search_field=name_substring&value=liatris-spicata,Herbaceous Perennials
Lilium superbum,,,Flower Color,Flowering Period,,,Facultative wetland +,HERBACEOUS PERENNIALS,,,Turk's Cap Lily,,,,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderSearch.aspx?t=Lilium+superbum,https://www.wildflower.org/plants/search.php?search_field=name_substring&value=lilium-superbum,Herbaceous Perennials
