Botanical Name,Height (ft),Spread (ft),Bloom Color,Bloom Time,Sun,Water,Wetland Status,Type,Characteristics,Key,Common Name,Habitats,Wildlife Benefits,Distribution,Link: Missouri Botanical Garden,Link: Wildflower.org,Plant Type
Amsonia tabernaemontana,2-3,2-3,blue or purple,March through June,"Full sun, Part shade",Medium,Upland,HERBACEOUS PERENNIALS,,,Eastern blue star,,,,[MBG](https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderSearchResults.aspx?query=Amsonia+tabernaemontana),[WF](https://www.wildflower.org/plants/search.php?search_field=name_substring&value=Amsonia%20tabernaemontana),Herbaceous Perennials
Aquilegia canadensis,2-3,1-1.5,red,Apr-May,"Full sun, Part shade",Medium,Upland,HERBACEOUS PERENNIALS,,,Red columbine,,,,[MBG](https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderSearchResults.aspx?query=Aquilegia+canadensis),[WF](https://www.wildflower.org/plants/search.php?search_field=name_substring&value=Aquilegia%20canadensis),Herbaceous Perennials
Arisaema triphyllum,1-2,1-1.5,"Green, purple, brown",April to July,"Part shade, Shade",Medium,Facultative Wetland,HERBACEOUS PERENNIALS,,,Jack-in-the-pulpit,"Forest, woodland, swamp, or marsh",,,[MBG](https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderSearchResults.aspx?query=Arisaema+triphyllum),[WF](https://www.wildflower.org/plants/search.php?search_field=name_substring&value=Arisaema%20triphyllum),Herbaceous Perennials
Asclepias incarnata,3-4,2-3,pink to purplish red,June through August,Full sun,Medium-Wet,Obligate Wetland,HERBACEOUS PERENNIALS,,,Swamp milkweed,,,,[MBG](https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderSearchResults.aspx?query=Asclepias+incarnata),[WF](https://www.wildflower.org/plants/search.php?search_field=name_substring&value=Asclepias%20incarnata),Herbaceous Perennials
Asclepias syriaca,3-6,2-3,Pink,Jun-Jul,Full sun,Medium-Dry,Upland,HERBACEOUS PERENNIALS,,,Common Milkweed,,,,[MBG](https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderSearchResults.aspx?query=Asclepias+syriaca),[WF](https://www.wildflower.org/plants/search.php?search_field=name_substring&value=Asclepias%20syriaca),Herbaceous Perennials
Asclepias tuberosa,1-2.5,1-1.5,Orange to yellow-orange,Jun-Aug,Full sun,Dry-Medium,Upland,HERBACEOUS PERENNIALS,,,Butterfly Milkweed,,"Key nectar source for monarchs, other butterflies; drought-tolerant",Eastern & Central US; Great Plains,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=b490,https://www.wildflower.org/plants/result.php?id_plant=astu,Herbaceous Perennials
Baptisia australis,3-4,3-4,Blue,May–Jun,"Full sun, Part shade",Dry-Medium,Upland,HERBACEOUS PERENNIALS,,,Blue Wild Indigo,,Deep-rooted legume; pollinator nectar; host for butterfly larvae,"PA to GA, west to KS, TX",https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=b660,https://www.wildflower.org/plants/result.php?id_plant=baau,Herbaceous Perennials
Caltha palustris,1-1.5,1-1.5,Bright yellow,April into June,"Full sun, Part shade",Wet,Obligate Wetland,HERBACEOUS PERENNIALS,,,Marsh Marigold,,Early nectar for pollinators; wetland restoration plant,"Circumboreal; NL to AK, south to NC, TN",https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?taxonid=286073,https://www.wildflower.org/plants/result.php?id_plant=capa5,Herbaceous Perennials
Chelone glabra,2-3,1.5-2.5,white,July through October,Part shade,Medium-Wet,Facultative Wetland,HERBACEOUS PERENNIALS,,,Turtlehead,,Host plant for Baltimore checkerspot butterfly; attracts bumblebees,"NL to GA, west to MN, TN",https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?taxonid=286965,https://www.wildflower.org/plants/result.php?id_plant=chgl2,Herbaceous Perennials
Coreopsis lanceolata,1-2,1-1.5,yellow,June through August,Full sun,Dry-Medium,Upland,HERBACEOUS PERENNIALS,,,Lanceleaf tickseed,,Long bloom for bees & pollinators; self‑seeds in poor soils,Widespread US except far NW & NE,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=j880,https://www.wildflower.org/plants/result.php?id_plant=cola5,Herbaceous Perennials
